epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.0809,0.17796,0.9838,1,0.05369,0.000551781,0.000551781,0.000551781
2,29.833,0.08544,0.97917,1,0.69874,0.00108552,0.00108552,0.00108552
3,43.3926,0.0945,0.98495,1,0.04051,0.00159725,0.00159725,0.00159725
4,57.1782,0.08478,0.98264,1,0.05878,0.00156798,0.00156798,0.00156798
5,70.6464,0.08093,0.98264,1,0.0728,0.00153497,0.00153497,0.00153497
6,84.0323,0.07311,0.9838,1,0.04751,0.00150197,0.00150197,0.00150197
7,97.2466,0.06832,0.98843,1,0.03583,0.00146896,0.00146896,0.00146896
8,110.904,0.05837,0.99074,1,0.02983,0.00143595,0.00143595,0.00143595
9,124.514,0.06588,0.98611,1,0.03567,0.00140295,0.00140295,0.00140295
10,137.97,0.06163,0.99537,1,0.02158,0.00136994,0.00136994,0.00136994
11,151.747,0.06078,0.9919,1,0.04566,0.00133693,0.00133693,0.00133693
12,165.213,0.05741,0.98727,1,0.02342,0.00130393,0.00130393,0.00130393
13,178.391,0.05233,0.98958,1,0.02544,0.00127092,0.00127092,0.00127092
14,211.297,0.05509,0.98727,1,0.02748,0.00123791,0.00123791,0.00123791
15,225.412,0.04776,0.98958,1,0.0498,0.00120491,0.00120491,0.00120491
