epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.47111,0.16625,0.9838,1,0.03342,0.000551781,0.000551781,0.000551781
2,13.0892,0.07221,0.9838,1,0.06844,0.00108552,0.00108552,0.00108552
3,18.6101,0.07593,0.86458,1,0.31442,0.00159725,0.00159725,0.00159725
4,24.1226,0.0727,0.9919,1,0.02361,0.00156798,0.00156798,0.00156798
5,29.5133,0.06679,0.99306,1,0.0277,0.00153497,0.00153497,0.00153497
6,38.4273,0.05883,0.9838,1,0.08978,0.00150197,0.00150197,0.00150197
7,47.9492,0.06425,0.98727,1,0.03225,0.00146896,0.00146896,0.00146896
8,57.3788,0.04964,0.99074,1,0.02484,0.00143595,0.00143595,0.00143595
9,66.7854,0.05005,0.99306,1,0.02802,0.00140295,0.00140295,0.00140295
10,76.229,0.04986,0.99421,1,0.01513,0.00136994,0.00136994,0.00136994
11,85.6561,0.04552,0.98727,1,0.03169,0.00133693,0.00133693,0.00133693
12,95.0961,0.04515,0.9919,1,0.02293,0.00130393,0.00130393,0.00130393
13,104.57,0.04253,0.91898,1,0.19038,0.00127092,0.00127092,0.00127092
14,114.027,0.04463,0.9919,1,0.01984,0.00123791,0.00123791,0.00123791
15,122.608,0.04208,0.99306,1,0.02157,0.00120491,0.00120491,0.00120491
