epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.6452,0.16091,0.97917,1,0.1057,0.000551781,0.000551781,0.000551781
2,53.4721,0.09877,0.9838,1,2.34368,0.00108552,0.00108552,0.00108552
3,79.664,0.10052,0.9838,1,0.06154,0.00159725,0.00159725,0.00159725
4,106.402,0.09646,0.9838,1,0.07859,0.00156798,0.00156798,0.00156798
5,132.477,0.08567,0.9838,1,0.04774,0.00153497,0.00153497,0.00153497
6,159.101,0.0805,0.98611,1,0.0358,0.00150197,0.00150197,0.00150197
7,184.969,0.08127,0.9838,1,0.057,0.00146896,0.00146896,0.00146896
8,218.914,0.07254,0.98611,1,0.05501,0.00143595,0.00143595,0.00143595
9,245.926,0.06862,0.98611,1,0.03767,0.00140295,0.00140295,0.00140295
10,271.579,0.06791,0.9919,1,0.0276,0.00136994,0.00136994,0.00136994
11,298.479,0.06447,0.98264,1,0.06419,0.00133693,0.00133693,0.00133693
12,323.487,0.0584,0.99306,1,0.02414,0.00130393,0.00130393,0.00130393
13,350.407,0.05615,0.99306,1,0.02595,0.00127092,0.00127092,0.00127092
14,376.611,0.05744,0.9919,1,0.0216,0.00123791,0.00123791,0.00123791
15,402.422,0.05335,0.99074,1,0.02364,0.00120491,0.00120491,0.00120491
16,427.426,0.05633,0.9838,1,0.05725,0.0011719,0.0011719,0.0011719
17,453.242,0.05156,0.98843,1,0.0322,0.00113889,0.00113889,0.00113889
